Offer SKU;Product SKU;Category code;Category label;Brand;Product;Offer state;Price;Original price;Quantity;Alert threshold;Logistic Class;Activated;Available Start Date;Available End Date;Discount price;Discount Start Date;Discount End Date;Lead time to ship;EAN;Inactivity reason;Fulfillment center code
0004509700;M5060821289515;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Bulky' Long Handle Leather Shopper Bag;New;49.99;120.00;0;;INIT;no;;;49.99;;;;5060821289515;Out of stock;DEFAULT
0005258207;M5056798409254;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;Real Leather Casual Jacket with Contrast Stripes;New;119.99;289.00;1;;INIT;yes;;;119.99;;;;5056798409254;;DEFAULT
0004807505;M5056798428279;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Monomoi;'Victoria' Real Leather Slim Fit Fashion Biker Jacket;New;84.99;189.00;0;;INIT;no;;;84.99;;;;5056798428279;Out of stock;DEFAULT
0004745007;M5056798426947;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Monomoi;'Aroma' Real Leather Three Quarter Side Zip Jacket;New;99.99;269.00;0;;INIT;no;;;99.99;;;;5056798426947;Out of stock;DEFAULT
0005403600;M5056798444514;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Borsa della Moda' Real Leather Saddle Crossbody Bag;New;34.99;79.00;0;;INIT;no;;;34.99;;;;5056798444514;Out of stock;DEFAULT
0004281300;M5060999702564;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Musette' Real Leather Hobo Bag;New;49.99;99.98;20;;INIT;yes;;;49.99;;;;5060999702564;;DEFAULT
0005895503;M5056798462464;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;Real Leather Jacket with Mandarin Collar and Straight Zip;New;149.99;249.00;2;;INIT;yes;;;149.99;;;;5056798462464;;DEFAULT
0002531904;M5056798461467;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;"""Ethel"" Real Leather Collarless Jacket";New;99.99;189.00;0;;INIT;no;;;99.99;;;;5056798461467;Out of stock;DEFAULT
0005376108;M5056798438889;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Jan' Real Leather Biker Style Jacket With Faux Fur Lining;New;139.99;289.00;0;;INIT;no;;;139.99;;;;5056798438889;Out of stock;DEFAULT
0005545811;M5056798455473;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Cadmar' Leather Biker Jacket;New;202.99;305.00;1;;INIT;yes;;;202.99;;;;5056798455473;;DEFAULT
0004130500;M5060474523516;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Fabrizia' Two Sections Leather Shoulder Bag;New;49.99;120.00;1;;INIT;yes;;;49.99;;;;5060474523516;;DEFAULT
